CHNL_TR,X,10,0
CHQ_NO,X,16,0
CHT_AC,X,13,0
CHT_KEY,X,25,0
CHT_NO,9,3,0
CHTBK_NM,X,36,0
CHTP_CD,X,2,0
CI_ALIAS,X,50,0
CI_ATTR,X,1,0
CI_CNM,M,70,0
CI_CNMS,C,30,0
CI_CNMS1,M,15,0
CI_CNMS2,M,10,0
CI_EMPNM,X,50,0
CI_ENM,X,140,0
CI_ENML,X,78,0
CI_ENMS,X,30,0
CI_ENMS2,X,20,0
CI_ID,X,20,0
CI_NAME,M,61,0
CI_NM,M,75,0
CI_NML,M,78,0
CI_NMS,M,35,0
CI_NO,X,12,0
CI_SEQ,9,9,0
CI_SIGN,X,2,0
CI_STSW,X,80,0
CI_TITL,X,2,0
CI_TYP,X,1,0
CIA_ENM,X,60,0
CIAC_SEQ,9,8,0
CIC_CD,X,11,0
CICC_TYP,X,3,0
CICLA_CD,X,5,0
CICS_TM,X,4,0
CICSLEN,S,4,0
CIG_CNM,M,20,0
CIG_ENM,X,40,0
CIIND_CD,X,5,0
CILST_CD,X,3,0
CINT_MTH,X,4,0
CIORG_CD,X,3,0
CIRA_TYP,X,1,0
CIREL_CD,X,5,0
CIRSK_CD,X,2,0
CISU_CNM,M,5,0
CISU_ENM,X,10,0
CISW_30,X,30,0
CITY_CD,X,6,0
CLAC_MOD,X,1,0
CLAC_SEQ,X,10,0
CLC_CTLW,X,11,0
CLG_AC,X,16,0
CLR_BK,X,3,0
CLR_BR,X,3,0
CLR_MTH,X,1,0
CLR_NO,X,20,0
CLS_INM,X,22,0
CLS_PAR,X,6,0
CMP_ADDR,X,30,0
CMP_ADRL,M,40,0
CMR_IDX,9,7,2
CMSG_CD,X,4,0
CMU_CD,X,7,0
CN-CODE,X,4,0
CNAPS_NO,9,12,0
CNP_STS,X,4,0
CNT,9,5,0
CNT_CNTY,X,4,0
CNT_ZONE,X,6,0
CNTR_NO,X,19,0
CNTT_SEQ,9,2,0
CNTT_TXT,X,30,0
CNTT_TYP,X,2,0
CNTY_CD,X,3,0
CNTY_CLR,9,7,0
CNTY_NM,M,32,0
CNTYS_CD,X,4,0
CO_ADDR,X,200,0
CO_ADR_C,M,100,0
CO_CD,X,4,0
CO_LMT_D,X,19,0
CO_NM,X,100,0
CO_NM_C,M,50,0
COA_TYP,X,2,0
COBL_NO,M,30,0
CODE,X,54,0
COF_TM,9,4,0
COF_TM2,X,4,0
COL_GRP,9,2,0
COL_KND,9,4,0
COME,X,2,0
COMM_STS,X,128,0
COMP_AMT,S,18,4
CONN_STS,X,1,0
CONRF_NO,X,12,0
CONT_NO,X,7,0
CONTENT,X,65,0
CONTENT1,X,70,0
CONTENT2,X,80,0
COPAY_NM,M,140,0
CORG_TYP,X,2,0
COST_CT,X,10,0
COUNTY,X,6,0
CPN_CTLW,X,32,0
CPN_KND,X,1,0
CPNT_ID,X,20,0
CR_CARD,X,16,0
CR_SZ,C,24,0
CRE_AM,9,5,0
CREV_NO,X,18,0
CRF_TYP,X,2,0
CRMK_140,C,140,0
CRSP_CD,9,8,0
CSYM_CD,X,2,0
CT_NO,X,12,0
CTA_ENM,X,100,0
CTA_LVL,X,1,0
CTA_NM,M,60,0
CTA_NO,X,25,0
CTAC_NO,9,12,0
CTAU_CD,9,5,0
CTL_OPT,X,1,0
CTLW_POS,9,2,0
CTNR_NO,9,2,0
CTNR_TYP,X,1,0
CTRN_CD,X,4,0
CTRT_NO,9,7,0
CUR_GUP,X,3,0
CUR_NM,M,24,0
CURU_NM,M,10,0
CUS_PSW,B,6,0
DAC_STSW,X,99,0
DAT_SNO,X,5,0
DAT_TYP,X,1,0
